EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,results_path
vary_B2,49,6,2,23,VI_best_tau_by_ELBO,8.019080162,,0.26220423,1.606235282,2.498315162,-649.8052612,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_23.pt
vary_B2,49,6,2,24,GPArealModel,8.350799561,,0.495424856,4.821706282,2.241454604,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_24.pt
vary_B2,49,6,2,24,GPmodel,8.037054062,,0.446766738,4.090220579,1.154332165,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_24.pt
vary_B2,49,6,2,24,VI_best_tau_by_ELBO,8.422999382,,0.262722909,3.633354338,2.477993923,-681.9621216,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_24.pt
vary_B2,49,6,2,25,GPArealModel,8.495223045,,0.231709885,3.665072629,2.623412756,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_25.pt
vary_B2,49,6,2,25,GPmodel,7.993151665,,0.44118678,2.869698829,0.981206024,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_25.pt
vary_B2,49,6,2,25,VI_best_tau_by_ELBO,8.477042198,,0.26182583,1.895881668,2.073166447,-639.373584,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_25.pt
vary_B2,49,6,2,26,GPArealModel,8.53329277,,0.181145776,7.898151103,1.523741289,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_26.pt
vary_B2,49,6,2,26,GPmodel,7.963279247,,0.295304076,4.717395729,1.005051481,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_26.pt
vary_B2,49,6,2,26,VI_best_tau_by_ELBO,8.295760155,,0.261451334,3.385059897,2.058305368,-666.6409302,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_26.pt
vary_B2,49,6,2,27,GPArealModel,8.350028038,,0.501012603,3.841004804,0.810912035,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_27.pt
vary_B2,49,6,2,27,GPmodel,8.007781029,,0.625244703,2.056986056,0.813226501,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_27.pt
vary_B2,49,6,2,27,VI_best_tau_by_ELBO,8.177055359,,0.262487233,2.378075905,1.845351578,-629.7343262,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_27.pt
vary_B2,49,6,2,28,GPArealModel,7.519942284,,0.655273183,2.969557289,0.633668407,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_28.pt
vary_B2,49,6,2,28,GPmodel,7.959469318,,0.714743897,2.181880262,0.904178406,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_28.pt
vary_B2,49,6,2,28,VI_best_tau_by_ELBO,8.045905113,,0.262555122,2.432364608,2.128664156,-644.8834473,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_28.pt
vary_B2,49,6,2,29,GPArealModel,8.024543762,,0.240600497,5.625449648,2.54935693,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_29.pt
vary_B2,49,6,2,29,GPmodel,7.996258736,,0.326234833,4.765105081,1.154228173,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_29.pt
vary_B2,49,6,2,29,VI_best_tau_by_ELBO,8.280464172,,0.262679547,4.770274701,1.883320583,-673.5442871,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_29.pt
vary_B2,49,6,2,30,GPArealModel,7.619551659,,0.759417727,3.550610804,0.985549872,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_30.pt
vary_B2,49,6,2,30,GPmodel,7.905383587,,0.730617324,2.1903306,1.079855307,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_30.pt
vary_B2,49,6,2,30,VI_best_tau_by_ELBO,8.121979713,,0.262473106,2.409804786,2.267068162,-651.2914063,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_30.pt
vary_B2,49,6,2,31,GPArealModel,8.143547058,,1.208344756,2.389806839,1.264162847,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_31.pt
vary_B2,49,6,2,31,GPmodel,7.966199398,,1.119297654,1.383736444,1.04912093,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_31.pt
vary_B2,49,6,2,31,VI_best_tau_by_ELBO,8.218558311,,0.26242888,1.432797786,2.080862475,-624.9173584,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_31.pt
vary_B2,49,6,2,32,GPArealModel,7.467215538,,0.281290647,7.868201376,0.796801745,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_32.pt
vary_B2,49,6,2,32,GPmodel,7.850864887,,0.375500526,4.265686492,1.060128751,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_32.pt
vary_B2,49,6,2,32,VI_best_tau_by_ELBO,8.132252693,,0.262054354,4.113909064,2.082519322,-671.1814819,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_32.pt
vary_B2,49,6,2,33,GPArealModel,8.306509972,,0.233689675,7.713290718,2.761855229,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_33.pt
vary_B2,49,6,2,33,GPmodel,7.968324184,,0.393589294,4.494333551,1.161828363,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_33.pt
vary_B2,49,6,2,33,VI_best_tau_by_ELBO,8.187322617,,0.261812836,3.908912821,2.335183146,-681.59021,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_33.pt
vary_B2,49,6,2,34,GPArealModel,8.313472748,,0.475175643,4.202940751,0.864584669,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_34.pt
vary_B2,49,6,2,34,GPmodel,7.931775093,,0.551354782,2.922416788,1.0114797,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_34.pt
