EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,Sigmasq_phi
vary_B2,49,6,2.0,42,GPArealModel,7.513697624206543,,1.524749111207438,3.855161570581933,1.682452358440944,,,2.5283907642543615
vary_B2,49,6,2.0,42,VI_best_tau_by_ELBO,8.040745735168457,,0.2627323269844055,2.6212435597674966,2.2863220173067464,-660.5773559570313,0.3,0.688685420050601
vary_B2,49,6,2.0,43,GPmodel,7.93555212020874,,1.090003600967026,2.028781143237385,1.303775288230515,,,1.8612609549523482
vary_B2,49,6,2.0,43,GPArealModel,7.598726749420166,,1.3520429679016865,3.3239140735790396,1.7331747313701622,,,2.4584381950061935
vary_B2,49,6,2.0,43,VI_best_tau_by_ELBO,8.0814208984375,,0.26257121562957764,2.178663479637235,2.5215964607797527,-661.1102966308594,0.3,0.5720543182961144
vary_B2,49,6,2.0,44,GPmodel,7.938287734985352,,2.3451888014598823,3.578188997509232,1.07317200760235,,,1.5257573272061533
vary_B2,49,6,2.0,44,GPArealModel,7.899849891662598,,3.154117746701882,6.711233239207768,1.235520857161301,,,2.1277687702766963
vary_B2,49,6,2.0,44,VI_best_tau_by_ELBO,8.190692901611328,,0.2618621289730072,2.6196479144608786,2.384199472749829,-661.6604370117187,0.3,0.6859865800404239
vary_B2,49,6,2.0,45,GPmodel,8.001014709472656,,2.429626573758644,4.080604877139736,1.0302712131592804,,,1.6795193636802468
vary_B2,49,6,2.0,45,GPArealModel,7.818294048309326,,2.9901817522141076,6.867112730732372,1.4830897455520298,,,2.2965536210792385
vary_B2,49,6,2.0,45,VI_best_tau_by_ELBO,8.063238143920898,,0.262517511844635,4.844836183478781,1.9839932900597836,-672.7192199707031,0.3,1.2718543401817073
vary_B2,49,6,2.0,46,GPmodel,7.982769012451172,,2.4543561372065685,2.9413944367704707,1.0731193248688635,,,1.1984383163391383
vary_B2,49,6,2.0,46,GPArealModel,7.738022804260254,,3.1845713154404276,5.913588233644314,1.0666667407706225,,,1.8569495382226862
vary_B2,49,6,2.0,46,VI_best_tau_by_ELBO,8.125090599060059,,0.26207661628723145,3.1212522492353267,1.9542095124272758,-653.7885681152344,0.3,0.8180072280585048
vary_B2,49,6,2.0,47,GPmodel,7.906621932983398,,1.7716503508957986,2.729345774212217,1.3404379736331284,,,1.5405668352291857
vary_B2,49,6,2.0,47,GPArealModel,8.097662925720215,,2.7783328755752006,5.059145428010126,1.5149476218622664,,,1.8209284684660856
vary_B2,49,6,2.0,47,VI_best_tau_by_ELBO,8.348381996154785,,0.2622978985309601,2.6886368581156956,2.266076392788009,-659.3250427246094,0.3,0.70522379779663
vary_B2,49,6,2.0,48,GPmodel,7.936772346496582,,1.9086931818247312,3.1050081739222954,1.0015631474704199,,,1.6267717637854577
vary_B2,49,6,2.0,48,GPArealModel,8.011336326599121,,2.085320930038161,4.2703653092823375,1.3585032203015706,,,2.047821631562577
vary_B2,49,6,2.0,48,VI_best_tau_by_ELBO,8.155731201171875,,0.2628607153892517,3.3862381973632147,2.158362710418806,-664.4009643554688,0.3,0.8901089950373048
vary_B2,49,6,2.0,49,GPmodel,7.9167914390563965,,1.7709217648828899,3.1768392923661937,1.013817759641093,,,1.7938902527273848
vary_B2,49,6,2.0,49,GPArealModel,7.594232559204102,,1.6556030968000446,5.513988710794996,1.2397204249967164,,,3.330501568553751
vary_B2,49,6,2.0,49,VI_best_tau_by_ELBO,7.987717151641846,,0.26291006803512573,4.545920996695329,2.0129095830793338,-667.9393615722656,0.3,1.1951683985234753
vary_B2,49,6,2.0,5,GPmodel,7.8607401847839355,,0.5769042400252262,1.9791861658073033,1.777461976690719,,,3.430701368602803
vary_B2,49,6,2.0,5,GPArealModel,8.066097259521484,,1.449599766021916,3.1886256902822385,1.477707019202822,,,2.1996593577223513
vary_B2,49,6,2.0,5,VI_best_tau_by_ELBO,8.199332237243652,,0.2623191177845001,2.12065355325708,2.3739956144924284,-654.2049011230469,0.3,0.5562879692169627
vary_B2,49,6,2.0,50,GPmodel,7.860334873199463,,0.834775230544382,1.2596275113741986,1.0130938036428632,,,1.5089421263167544
vary_B2,49,6,2.0,50,GPArealModel,7.137520790100098,,1.5273542893330951,1.6292603338468004,0.9133623248412284,,,1.0667206326818917
vary_B2,49,6,2.0,50,VI_best_tau_by_ELBO,7.848204612731934,,0.2623169422149658,1.0268920647779773,2.1151507806484213,-619.6898864746094,0.3,0.2693711864173716
vary_B2,49,6,2.0,51,GPmodel,7.8375983238220215,,1.972579292417633,3.05019501021845,1.2264004833396909,,,1.54629779494444
vary_B2,49,6,2.0,51,GPArealModel,7.974002361297607,,2.1278782229819124,5.1245366811706505,1.004358223503897,,,2.4082847532455856
vary_B2,49,6,2.0,51,VI_best_tau_by_ELBO,8.137551307678223,,0.26247474551200867,3.130672175455061,2.3621159004561303,-670.2836059570312,0.3,0.8217223825340937
vary_B2,49,6,2.0,52,GPmodel,7.901764392852783,,1.4261555621385305,2.122661076908462,1.1727176421697567,,,1.4883797625313164
vary_B2,49,6,2.0,52,GPArealModel,7.725897312164307,,1.837748408045217,3.5702536796511124,0.8284335848138081,,,1.9427325655793837
vary_B2,49,6,2.0,52,VI_best_tau_by_ELBO,8.053504943847656,,0.2624105215072632,2.334032208849354,2.2145850294506118,-649.7031677246093,0.3,0.6124746091389084
vary_B2,49,6,2.0,53,GPmodel,7.865353584289551,,2.982417868637553,3.5017246549876475,0.8867102083742436,,,1.1741227451092653
vary_B2,49,6,2.0,53,GPArealModel,7.537745475769043,,4.138976033874272,5.852410168063637,1.2795398319404334,,,1.4139753697934587
vary_B2,49,6,2.0,53,VI_best_tau_by_ELBO,7.962780952453613,,0.26208925247192383,3.1584776369861185,1.8074082642854852,-648.1510681152344,0.3,0.8278030428269801
vary_B2,49,6,2.0,54,GPmodel,8.033711433410645,,1.5317817894389154,2.375424600978147,1.1937960399191474,,,1.5507591338112552
vary_B2,49,6,2.0,54,GPArealModel,7.8048248291015625,,1.7499532756722147,3.9065683748246323,0.6606392881383721,,,2.2323843894197637
