EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,Sigmasq_phi,results_path,n_correct_perm_s,n_correct_perm_x
vary_B2_annealed,49,6,2.0,11,GPmodel,2.048917531967163,,0.650434145476859,3.8460315302336334,0.7096235592690139,,,5.913022182151824,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_11.pt,,
vary_B2_annealed,49,6,2.0,11,VI_best_tau_by_ELBO,2.089219093322754,,0.2620282769203186,5.074892350861996,1.725676299610177,-604.6427612304688,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_11.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,12,GPArealModel,1.9253058433532715,,0.26472161130778465,8.243700942522844,0.1273987752467904,,,31.141019812462975,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_12.pt,,
vary_B2_annealed,49,6,2.0,12,GPmodel,2.0471010208129883,,0.3074539716209031,6.8874019421387125,0.564215958124801,,,22.40140826878313,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_12.pt,,
vary_B2_annealed,49,6,2.0,12,VI_best_tau_by_ELBO,2.035208225250244,,0.2621115744113922,6.021878074734771,1.4711187572857847,-610.5652221679687,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_12.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,13,GPArealModel,1.5523884296417236,,0.48411268382692013,5.8087910758263686,1.2885941410808543,,,11.998840910152907,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_13.pt,,
vary_B2_annealed,49,6,2.0,13,GPmodel,1.9680763483047485,,0.5604192631125418,4.733846871098222,0.6175101110848185,,,8.446973868825749,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_13.pt,,
vary_B2_annealed,49,6,2.0,13,VI_best_tau_by_ELBO,1.8881901502609253,,0.2626679837703705,6.973425769218429,1.5900606524854553,-613.82236328125,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_13.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,14,GPArealModel,2.237844228744507,,0.6014606402340122,3.99914084695936,0.06290512837755434,,,6.649048299159529,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_14.pt,,
vary_B2_annealed,49,6,2.0,14,GPmodel,2.0077078342437744,,0.6173236776525312,3.5586119098964564,0.6933626886806489,,,5.764580298343049,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_14.pt,,
vary_B2_annealed,49,6,2.0,14,VI_best_tau_by_ELBO,1.978174090385437,,0.2622751295566559,5.59280343287453,1.5546358227321826,-601.65478515625,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_14.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,15,GPArealModel,2.171961545944214,,0.29123172536052433,6.591854326989223,0.6020744875609775,,,22.634396437506844,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_15.pt,,
vary_B2_annealed,49,6,2.0,15,GPmodel,1.9450318813323975,,0.47593450307205243,5.048717784090469,0.5504522406826093,,,10.608009613722283,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_15.pt,,
