w_oracle,w_oracle_distorted,mu_W_vi,mu_W_vi_perm
-0.39035797,-0.5520687,-0.43452573,-0.37275398
-0.69631577,-0.30061913,0.075954795,-0.41119343
0.13640022,-0.39035797,-0.37275398,0.34988552
-0.30061913,0.13640022,0.34988552,0.075954795
-0.36989403,0.6685486,0.6402018,-0.38787422
1.0814819,-0.36989403,-0.38787422,0.8201494
0.6685486,0.007144928,-0.24715409,0.6402018
-0.0395298,1.0814819,0.8201494,-0.2074911
0.007144928,-0.0395298,-0.2074911,-0.24715409
0.35606003,1.2653809,0.9110294,0.5185221
-0.40929794,0.35606003,0.5185221,-0.38617963
1.2653809,-0.34924698,-0.3784152,0.9110294
-0.22525406,-0.40929794,-0.38617963,-0.20808832
-0.34924698,-0.22525406,-0.20808832,-0.3784152
-0.2240448,0.9270954,0.75558877,-0.15633325
-0.46592903,-0.2240448,-0.15633325,-0.42204896
0.9270954,0.3170929,0.43587026,0.75558877
1.232235,-0.46592903,-0.42204896,0.8990807
0.3170929,1.232235,0.8990807,0.43587026
-0.21250343,0.9307823,0.34730217,-0.20806234
-0.32549477,-0.21250343,-0.20806234,-0.30480978
0.9307823,-0.58325577,-0.43685234,0.34730217
-0.11217499,-0.32549477,-0.30480978,-0.05637742
-0.58325577,-0.11217499,-0.05637742,-0.43685234
-0.054466248,-0.67990875,-0.5021031,0.054916743
-0.06515694,-0.054466248,0.054916743,-0.23894963
-0.67990875,0.83167076,0.6576918,-0.5021031
0.9226532,-0.06515694,-0.23894963,0.75074047
0.83167076,0.9226532,0.75074047,0.6576918
-0.049655914,-0.04550743,-0.09414776,-0.21769677
-0.46844482,-0.049655914,-0.21769677,-0.37181327
-0.04550743,0.2895279,0.33015132,-0.09414776
0.09101486,-0.46844482,-0.37181327,0.10755323
0.2895279,0.09101486,0.10755323,0.33015132
0.74053,-0.3148651,-0.33974367,0.30070385
-0.6727867,0.74053,0.30070385,-0.49992505
-0.3148651,0.8627472,0.65996253,-0.33974367
0.5325527,-0.6727867,-0.49992505,0.45796412
0.8627472,0.5325527,0.45796412,0.65996253
-0.14507484,-0.73344994,-0.5466402,-0.085735075
-0.3057251,-0.14507484,-0.085735075,-0.020808224
-0.73344994,-0.515892,-0.45873767,-0.5466402
-0.41259003,-0.3057251,-0.020808224,-0.28333673
-0.515892,-0.41259003,-0.28333673,-0.45873767
0.67866135,-0.10541153,0.12552772,0.5492474
-0.564579,0.67866135,0.5492474,-0.41947946
-0.10541153,0.69641876,0.5406256,0.12552772
0.5837498,-0.564579,-0.41947946,0.43337774
0.69641876,0.5837498,0.43337774,0.5406256
0.54091835,0.17518616,0.10465542,0.48666626
0.13000488,0.54091835,0.48666626,0.055344515
0.17518616,0.46333313,0.46226412,0.10465542
0.60297585,0.13000488,0.055344515,0.3977524
0.46333313,0.60297585,0.3977524,0.46226412
0.5253639,0.3485775,0.25329056,0.39783126
0.25686646,0.5253639,0.39783126,0.19104517
0.3485775,0.41961288,0.47156096,0.25329056
-0.36271477,0.25686646,0.19104517,-0.1877093
0.41961288,-0.36271477,-0.1877093,0.47156096
-0.34417343,0.45630646,0.36185566,-0.24815887
0.7738266,-0.34417343,-0.24815887,0.5723832
0.45630646,-0.4116478,-0.30056146,0.36185566
0.8051586,0.7738266,0.5723832,0.60085225
-0.4116478,0.8051586,0.60085225,-0.30056146
-0.21554756,-0.61231995,-0.4524043,-0.14236286
-0.12972832,-0.21554756,-0.14236286,-0.04843327
-0.61231995,0.448452,0.337129,-0.4524043
-0.63594437,-0.12972832,-0.04843327,-0.47569388
0.448452,-0.63594437,-0.47569388,0.337129
-0.42992592,0.15120125,0.13379532,-0.29622227
-0.3846321,-0.42992592,-0.29622227,-0.2648846
0.15120125,0.34356308,0.3302463,0.13379532
0.7739353,-0.3846321,-0.2648846,0.57551765
0.34356308,0.7739353,0.57551765,0.3302463
-0.08146477,0.794857,0.5619654,-0.04713962
0.10731888,-0.08146477,-0.04713962,0.12867376
0.794857,-0.36034203,-0.33809227,0.5619654
-0.4660797,0.10731888,0.12867376,-0.44521165
-0.36034203,-0.4660797,-0.44521165,-0.33809227
-0.2996559,-0.0039520264,0.07417536,-0.28105158
0.36719513,-0.2996559,-0.28105158,0.28918016
-0.0039520264,-0.33839798,-0.22824813,0.07417536
-0.3932762,0.36719513,0.28918016,-0.3774327
-0.33839798,-0.3932762,-0.3774327,-0.22824813
-0.37516785,-0.40847778,-0.20619465,-0.24824384
-0.2905197,-0.37516785,-0.24824384,-0.059435636
-0.40847778,-0.4102955,-0.30524254,-0.20619465
-0.45213318,-0.2905197,-0.059435636,-0.4316876
-0.4102955,-0.45213318,-0.4316876,-0.30524254
